NOTE: This file contains default dependent matrixes. There is a matrix for each day. Each element in the matrix 
is the conditional probability of the bank indicated in its row heading going default given the bank indicated in 
 its column heading default.
   
  Date ,    ,  HR,  DIA,  SYS 
21/03/2016, HR, 1,  0.66173578379911,  0.548962109717458, 
, DIA, 0.726972688861532,  1,  0.749287257268477, 
, SYS, 0.547498340800021,  0.680229259874877,  1, 
22/03/2016, HR, 1,  0.662051973538634,  0.590728358042429, 
, DIA, 0.727519626188608,  1,  0.806202370054799, 
, SYS, 0.44713349453895,  0.5553168167019,  1, 
23/03/2016, HR, 1,  0.660641788836897,  0.595453016803254, 
, DIA, 0.722050130296357,  1,  0.812486204160417, 
, SYS, 0.419386167298903,  0.523577877606849,  1, 
24/03/2016, HR, 1,  0.596703572378984,  0.540229902839107, 
, DIA, 0.706882248639907,  1,  0.800557867523154, 
, SYS, 0.356375469421846,  0.445793236234201,  1, 
25/03/2016, HR, 1,  0.602097839166501,  0.557163680490367, 
, DIA, 0.698657815464003,  1,  0.814579528649063, 
, SYS, 0.305472941965384,  0.384880570398412,  1, 
26/03/2016, HR, 1,  0.662823597905377,  0.590489918723919, 
, DIA, 0.623021499577327,  1,  0.783593570042234, 
, SYS, 0.277066746454531,  0.391162946735831,  1, 
27/03/2016, HR, 1,  0.666484746869012,  0.59420671242367, 
, DIA, 0.564928666447438,  1,  0.772909987010972, 
, SYS, 0.191548694107692,  0.293945734693964,  1, 
28/03/2016, HR, 1,  0.661680875632921,  0.575015825000244, 
, DIA, 0.524316643006046,  1,  0.744794676842196, 
, SYS, 0.171197258856523,  0.279839175594562,  1, 
29/03/2016, HR, 1,  0.66391026635959,  0.584025907504231, 
, DIA, 0.535383792139187,  1,  0.756412341381781, 
, SYS, 0.169768105736415,  0.272663346620091,  1, 
30/03/2016, HR, 1,  0.700982919371406,  0.632963438905118, 
, DIA, 0.515730817418317,  1,  0.780052213455461, 
, SYS, 0.121251695288653,  0.203103412431351,  1, 
31/03/2016, HR, 1,  0.661988697500524,  0.601172991238579, 
, DIA, 0.550429080528521,  1,  0.782095614297879, 
, SYS, 0.137845457379019,  0.215676115155344,  1, 
01/04/2016, HR, 1,  0.584307511854383,  0.533205981589007, 
, DIA, 0.53716264610876,  1,  0.761994831230225, 
, SYS, 0.0809529336889183,  0.125841900861921,  1, 
02/04/2016, HR, 1,  0.553655696899301,  0.508701673569514, 
, DIA, 0.549266192963019,  1,  0.760858989777542, 
, SYS, 0.0767909671868647,  0.115773203666791,  1, 
03/04/2016, HR, 1,  0.567961035823588,  0.533049841899239, 
, DIA, 0.576454963366924,  1,  0.78505372776669, 
, SYS, 0.0819832018191592,  0.118962366912643,  1, 
04/04/2016, HR, 1,  0.581729167911152,  0.543734869962908, 
, DIA, 0.562406357044317,  1,  0.782846558102685, 
, SYS, 0.0737975424854787,  0.109901084914963,  1, 
05/04/2016, HR, 1,  0.545447051210225,  0.512364270413974, 
, DIA, 0.594064607158811,  1,  0.783800264445813, 
, SYS, 0.0994596355354174,  0.139698695791872,  1, 
06/04/2016, HR, 1,  0.413428463074129,  0.390015183489947, 
, DIA, 0.625386696840038,  1,  0.758547306996287, 
, SYS, 0.113295538373525,  0.145668516681075,  1, 
07/04/2016, HR, 1,  0.417317661113616,  0.397127210691584, 
, DIA, 0.626850743401437,  1,  0.764745357365262, 
, SYS, 0.102749547988957,  0.131725465859388,  1, 
08/04/2016, HR, 1,  0.376022944363003,  0.360913399640958, 
, DIA, 0.620592276633884,  1,  0.755458798384975, 
, SYS, 0.0761346143150014,  0.0965601448228589,  1, 
09/04/2016, HR, 1,  0.291842678309035,  0.253160561444066, 
, DIA, 0.513028713087868,  1,  0.644921585953918, 
, SYS, 0.0409140539873213,  0.0592912364345821,  1, 
10/04/2016, HR, 1,  0.302427588861177,  0.257446032575727, 
, DIA, 0.494356875656934,  1,  0.632574335425545, 
, SYS, 0.0377311545144907,  0.056716090495345,  1, 
11/04/2016, HR, 1,  0.301438206552331,  0.236939467102288, 
, DIA, 0.441162814018311,  1,  0.57724652110911, 
, SYS, 0.0409696732777725,  0.0682002264102402,  1, 
12/04/2016, HR, 1,  0.325055695460729,  0.23244263881504, 
, DIA, 0.382712727043335,  1,  0.521118582939288, 
, SYS, 0.045037819172845,  0.0857596482552957,  1, 
13/04/2016, HR, 1,  0.411604313725988,  0.325353185315778, 
, DIA, 0.459328782597331,  1,  0.61324347270115, 
, SYS, 0.0881708435142345,  0.148922090647575,  1, 
14/04/2016, HR, 1,  0.314795414778608,  0.216421011315296, 
, DIA, 0.397245430275425,  1,  0.506368602655763, 
, SYS, 0.0838608305597423,  0.155487683946381,  1, 
15/04/2016, HR, 1,  0.349955979550311,  0.244557960777938, 
, DIA, 0.395295924128858,  1,  0.520269979242753, 
, SYS, 0.0814091796455143,  0.153324452648083,  1, 
16/04/2016, HR, 1,  0.276350005962511,  0.166403983764838, 
, DIA, 0.319568884030555,  1,  0.420565014523905, 
, SYS, 0.0537038148914033,  0.117373364152196,  1, 
17/04/2016, HR, 1,  0.120916315388665,  0.0995083289532183, 
, DIA, 0.540208144678165,  1,  0.586049500302499, 
, SYS, 0.0933976599340853,  0.123121710087392,  1, 
18/04/2016, HR, 1,  0.160093377655429,  0.133518758594613, 
, DIA, 0.5846341627156,  1,  0.618695224014381, 
, SYS, 0.150099986211727,  0.190460231591791,  1, 
19/04/2016, HR, 1,  0.140220721195704,  0.117450107820231, 
, DIA, 0.593848941165994,  1,  0.619200754865686, 
, SYS, 0.156210143559043,  0.194456963063072,  1, 
20/04/2016, HR, 1,  0.12284971308601,  0.112970772208754, 
, DIA, 0.648341085406057,  1,  0.676557473588289, 
, SYS, 0.145352442416614,  0.164942105872382,  1, 
21/04/2016, HR, 1,  0.152621999382132,  0.14595993281004, 
, DIA, 0.695865054534957,  1,  0.721757565842958, 
, SYS, 0.178840005271114,  0.193961027270476,  1, 
22/04/2016, HR, 1,  0.168766168378558,  0.161800795677934, 
, DIA, 0.71009566805788,  1,  0.733254119225075, 
, SYS, 0.200396016422103,  0.215839770092731,  1, 
23/04/2016, HR, 1,  0.200251972969446,  0.184213600939646, 
, DIA, 0.685598903411522,  1,  0.712102154124173, 
, SYS, 0.21189508276285,  0.239247922564274,  1, 
24/04/2016, HR, 1,  0.178002904610137,  0.163931060322793, 
, DIA, 0.710084523497923,  1,  0.717479411672161, 
, SYS, 0.248980118562431,  0.273168052668998,  1, 
25/04/2016, HR, 1,  0.200556445621637,  0.179424657141194, 
, DIA, 0.7312053311468,  1,  0.717938126796902, 
, SYS, 0.321370856567211,  0.352702597400032,  1, 
26/04/2016, HR, 1,  0.164500170999584,  0.154849355235522, 
, DIA, 0.791671216955129,  1,  0.761908138318665, 
, SYS, 0.372207259237538,  0.380539329344553,  1, 
27/04/2016, HR, 1,  0.241858621273304,  0.221319280215515, 
, DIA, 0.779673520886951,  1,  0.758409036224462, 
, SYS, 0.391661823083337,  0.416336300319227,  1, 
28/04/2016, HR, 1,  0.24513759004434,  0.223131162349395, 
, DIA, 0.766060930114482,  1,  0.750535400517802, 
, SYS, 0.372248851696653,  0.400673776227066,  1, 
29/04/2016, HR, 1,  0.257666360229797,  0.233767131669401, 
, DIA, 0.771385831526655,  1,  0.753663676057837, 
, SYS, 0.388265222462104,  0.418127462762176,  1, 
30/04/2016, HR, 1,  0.271243178238297,  0.24839889772882, 
, DIA, 0.777044131184428,  1,  0.763602747041161, 
, SYS, 0.389713382231925,  0.418192535572561,  1, 
01/05/2016, HR, 1,  0.328887950213929,  0.288823581613141, 
, DIA, 0.737983673371873,  1,  0.737717902336011, 
, SYS, 0.377374587224164,  0.429567615080253,  1, 
02/05/2016, HR, 1,  0.342197130927241,  0.290460743350303, 
, DIA, 0.719681489806354,  1,  0.715210061267198, 
, SYS, 0.385751427116769,  0.451637238684992,  1, 
03/05/2016, HR, 1,  0.328694610984911,  0.267787487930079, 
, DIA, 0.696311281510666,  1,  0.682449886485179, 
