NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(DIA   &   SYS )
   G2=(HR)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 21/03/2016,  0.30213421466692,  0.471590994516423,  0.14307611772676,  0.471590994516423, 
 22/03/2016,  0.193832958143197,  0.5204523742404,  0.0715161359149276,  0.5204523742404, 
 23/03/2016,  0.202129228878516,  0.488110637320369,  0.0765509379600435,  0.488110637320369, 
 24/03/2016,  0.190946352777327,  0.551155972414979,  0.0706155092214238,  0.551155972414979, 
 25/03/2016,  0.150861094219282,  0.580653827819367,  0.0488603012351661,  0.580653827819367, 
 26/03/2016,  0.146963501973823,  0.585951168133027,  0.0425708041356831,  0.585951168133027, 
 27/03/2016,  0.149413796073328,  0.595006307312184,  0.0388848411281017,  0.595006307312184, 
 28/03/2016,  0.13498920785453,  0.650622257453619,  0.0181679749385102,  0.650622257453619, 
 29/03/2016,  0.168877465469459,  0.611894983178119,  0.0200743426216124,  0.611894983178119, 
 30/03/2016,  0.171719140406073,  0.602790785997619,  0.0220706074065597,  0.602790785997619, 
 31/03/2016,  0.118143213065787,  0.617148344714508,  0.00888860827162351,  0.617148344714508, 
 01/04/2016,  0.0358629187242206,  0.62212033715727,  0.0004329343676876,  0.62212033715727, 
 02/04/2016,  0.0310346176379892,  0.531182584443662,  0.000483812149377985,  0.531182584443662, 
 03/04/2016,  0.0193641110606175,  0.52993249424327,  0.000174573669366413,  0.52993249424327, 
