NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(rate_adj.00691212   &   rate_adj.00593038   &   rate_adj.00604611   &   rate_adj.00695437   &   rate_adj.00662577 )
   G2=(rate_adj.00224014   &   rate_adj.00585018   &   rate_adj.00566018   &   rate_adj.01081165   &   rate_adj.00767012)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 16/12/1998,  0.998152006255249,  0.892140135488392,  0.892463316388865,  0.00870432521610406, 
 17/12/1998,  0.998094449301123,  0.892746634028175,  0.891058855757637,  0.00847258349754695, 
 20/12/1998,  0.99793989535506,  0.898491150347682,  0.888572320394841,  0.0101916393024465, 
 21/12/1998,  0.99789966316071,  0.893942159930049,  0.887437656605764,  0.011013240989864, 
 22/12/1998,  0.997964165749692,  0.890456721761986,  0.88860921443202,  0.0131378218948826, 
 23/12/1998,  0.997957443505567,  0.891048502210376,  0.888344256314912,  0.0179221290942402, 
 24/12/1998,  0.997915792341637,  0.893034942298248,  0.88668769878281,  0.0219347956871536, 
 27/12/1998,  0.997987405372376,  0.887358010855938,  0.886688970347239,  0.031895534521589, 
 28/12/1998,  0.998172871449967,  0.879429576069515,  0.889303170439959,  0.0359457318088983, 
 29/12/1998,  0.998207612505632,  0.880024299751316,  0.891313425288672,  0.0384878113245899, 
 30/12/1998,  0.998182300027283,  0.881509478886733,  0.890784952749975,  0.0411753136321002, 
 31/12/1998,  0.998251594347206,  0.876478505372572,  0.89205460203631,  0.0461532957976505, 
 03/01/1999,  0.998249514670939,  0.874797927132348,  0.892155769437625,  0.0463958603406419, 
 04/01/1999,  0.998248110670956,  0.873603152161243,  0.8923402008807,  0.0466270801685515, 
 05/01/1999,  0.998263444982914,  0.873252455200639,  0.893016528724021,  0.0465116519652223, 
 06/01/1999,  0.998241779734929,  0.873778314054273,  0.893227549400997,  0.0491490827741211, 
 07/01/1999,  0.998267102955093,  0.875726357603387,  0.893218742964374,  0.044419452049539, 
 10/01/1999,  0.998246697960752,  0.877406490305448,  0.892263174385535,  0.0492919139068298, 
 11/01/1999,  0.998287614079886,  0.873684053173678,  0.892814811524317,  0.0521242137419747, 
 12/01/1999,  0.99826331437182,  0.875948424015166,  0.892364447750029,  0.0562544967371882, 
 13/01/1999,  0.998409141024796,  0.870175276140727,  0.894823807268737,  0.0577800636267348, 
 14/01/1999,  0.998428113196627,  0.869860948808679,  0.895763777746089,  0.0644054858376128, 
 17/01/1999,  0.998508264436284,  0.859671300285174,  0.896783610151902,  0.0631007876029088, 
 18/01/1999,  0.998382763219125,  0.872746103831717,  0.894494843919795,  0.0758823780524459, 
 19/01/1999,  0.998402685769423,  0.869381224698816,  0.894832856226005,  0.071978032975969, 
 20/01/1999,  0.998470974970772,  0.860229000984322,  0.895952263754844,  0.0685791074421966, 
 21/01/1999,  0.998386827260155,  0.868607524639642,  0.894012500104353,  0.067732612969927, 
 24/01/1999,  0.998474419768765,  0.866642236906346,  0.895977957595134,  0.0659508935171067, 
