NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(DIA   &   SYS )
   G2=(HR)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 21/03/2016,  0.599587123964882,  0.612491084851829,  0.210435202844794,  0.612491084851829, 
 22/03/2016,  0.539776316003509,  0.642658449191548,  0.146655423677539,  0.642658449191548, 
 23/03/2016,  0.467081660697649,  0.674255894448704,  0.176365388234952,  0.674255894448704, 
 24/03/2016,  0.491241717629858,  0.65455275648789,  0.205635799300707,  0.65455275648789, 
 25/03/2016,  0.499766833089357,  0.590667494855286,  0.23370996875845,  0.590667494855286, 
 26/03/2016,  0.496242910230698,  0.592946765330095,  0.23475830827903,  0.592946765330095, 
 27/03/2016,  0.421760049681881,  0.62593800187815,  0.205732813922173,  0.62593800187815, 
 28/03/2016,  0.426287837486698,  0.603930399664141,  0.210515594185772,  0.603930399664141, 
 29/03/2016,  0.418041669039308,  0.598560231187399,  0.19359713736081,  0.598560231187399, 
 30/03/2016,  0.389064276997088,  0.566797071519397,  0.150157184732802,  0.566797071519397, 
 31/03/2016,  0.44620419850688,  0.507772173693293,  0.150989478535606,  0.507772173693293, 
 01/04/2016,  0.449939212511622,  0.502191669934833,  0.111963524049665,  0.502191669934833, 
 02/04/2016,  0.276884751222328,  0.55550719877741,  0.0464824063062716,  0.55550719877741, 
 03/04/2016,  0.318940740125143,  0.5442247421239,  0.0637333417025174,  0.5442247421239, 
 04/04/2016,  0.39274229112805,  0.390509748677123,  0.12773285232266,  0.390509748677123, 
 05/04/2016,  0.627745499199439,  0.177328470679499,  0.18210348868005,  0.177328470679499, 
 06/04/2016,  0.629456903818068,  0.164434612560884,  0.183286897798038,  0.164434612560884, 
 07/04/2016,  0.614576456365799,  0.141503417566073,  0.20412824138009,  0.141503417566073, 
 08/04/2016,  0.600901068229135,  0.0809991473787613,  0.259639529027751,  0.0809991473787613, 
 09/04/2016,  0.605918213533409,  0.0665133814806404,  0.276820731971153,  0.0665133814806404, 
 10/04/2016,  0.726323247075251,  0.00940271862047922,  0.326101078525424,  0.00940271862047922, 
 11/04/2016,  0.703717272589664,  0.00242737967562262,  0.315219253232875,  0.00242737967562262, 
 12/04/2016,  0.645887666637464,  0.00212730697582064,  0.322100610604667,  0.00212730697582064, 
 13/04/2016,  0.647770548839116,  0.00152644661111044,  0.330297475179393,  0.00152644661111044, 
 14/04/2016,  0.67083387725334,  0.000195176474754083,  0.348061480894142,  0.000195176474754083, 
 15/04/2016,  0.661695473913973,  0.000363518368792848,  0.345941274779483,  0.000363518368792848, 
 16/04/2016,  0.704995661737634,  0.000268096839958112,  0.33442598388447,  0.000268096839958112, 
 17/04/2016,  0.699737478567025,  0.000321829877536272,  0.341255568443453,  0.000321829877536272, 
 18/04/2016,  0.697204706642017,  0.000889466031080905,  0.324828364579719,  0.000889466031080905, 
 19/04/2016,  0.691396660991609,  0.000937014609543324,  0.359178110948232,  0.000937014609543324, 
 20/04/2016,  0.690750203851893,  0.000984152043798563,  0.33542790387574,  0.000984152043798563, 
 21/04/2016,  0.649487954729101,  0.00148538773153946,  0.337756980511122,  0.00148538773153946, 
 22/04/2016,  0.659549101039585,  0.00150357436177435,  0.327210429634221,  0.00150357436177435, 
 23/04/2016,  0.605857140150227,  0.00116883657117433,  0.285456944869387,  0.00116883657117433, 
 24/04/2016,  0.604523256040928,  0.00096608316339413,  0.283390911513996,  0.00096608316339413, 
 25/04/2016,  0.632609163318926,  0.00121034258200028,  0.326182915915847,  0.00121034258200028, 
 26/04/2016,  0.652692209890751,  0.00123196350811643,  0.348502472502713,  0.00123196350811643, 
 27/04/2016,  0.620327893790591,  0.0013109537851832,  0.340909730037159,  0.0013109537851832, 
 28/04/2016,  0.639176128783285,  0.000436785321173162,  0.377884403514224,  0.000436785321173162, 
 29/04/2016,  0.660069426817302,  0.000506409503720687,  0.381799448010384,  0.000506409503720687, 
 30/04/2016,  0.570500624884174,  0.000610741743912923,  0.343367963821177,  0.000610741743912923, 
 01/05/2016,  0.628706458425076,  0.000211469875530445,  0.373437490786414,  0.000211469875530445, 
 02/05/2016,  0.629917540013552,  0.000435402322410926,  0.394016137401898,  0.000435402322410926, 
 03/05/2016,  0.633517101822671,  0.000474889579486284,  0.374860470059963,  0.000474889579486284, 
 04/05/2016,  0.652031072237254,  0.000860506314687897,  0.322658688545022,  0.000860506314687897, 
