NOTE: This file contains default dependent matrixes. There is a matrix for each day. Each element in the matrix 
is the conditional probability of the bank indicated in its row heading going default given the bank indicated in 
 its column heading default.
   
  Date ,    ,  HR,  DIA,  SYS 
11/07/2011, HR, 1,  0.0272926179634876,  0.0380641048667698, 
, DIA, 0.140645992499609,  1,  0.414933724896056, 
, SYS, 0.260433232758195,  0.55090580600849,  1, 
12/07/2011, HR, 1,  0.0747558886936294,  0.101958687808342, 
, DIA, 0.145198142652594,  1,  0.41814977408137, 
, SYS, 0.265217268583287,  0.560007411421769,  1, 
13/07/2011, HR, 1,  0.039496362848678,  0.0572332560695046, 
, DIA, 0.130972206730995,  1,  0.445137926742371, 
, SYS, 0.184626988945808,  0.43303130177647,  1, 
14/07/2011, HR, 1,  0.0378091047432387,  0.0556976029739651, 
, DIA, 0.0693205763893258,  1,  0.261514244851172, 
, SYS, 0.194817117006482,  0.498907676364493,  1, 
15/07/2011, HR, 1,  0.0142753031565428,  0.0224271185008299, 
, DIA, 0.0469218606822118,  1,  0.216448892619023, 
, SYS, 0.137634431370287,  0.404128145174049,  1, 
16/07/2011, HR, 1,  0.0251831803078608,  0.0439683527998345, 
, DIA, 0.0249398535237065,  1,  0.16521054113361, 
, SYS, 0.0510050834677282,  0.193520820635748,  1, 
17/07/2011, HR, 1,  0.0302373143530711,  0.0529074632598374, 
, DIA, 0.057714991564097,  1,  0.352837112003526, 
, SYS, 0.0267551878930142,  0.09348025821149,  1, 
18/07/2011, HR, 1,  0.0302111003767178,  0.0520510721098746, 
, DIA, 0.0754368303508658,  1,  0.421519798242152, 
, SYS, 0.0280951994150795,  0.0911178637208169,  1, 
19/07/2011, HR, 1,  0.0399858458969651,  0.0671904335494992, 
, DIA, 0.0717001659638559,  1,  0.390451949531011, 
, SYS, 0.0437197666422108,  0.14168507825856,  1, 
20/07/2011, HR, 1,  0.0565465117395771,  0.093685972793931, 
, DIA, 0.119099890381839,  1,  0.552548093258247, 
, SYS, 0.0241079606442119,  0.0675072544105979,  1, 
21/07/2011, HR, 1,  0.0586027246442132,  0.093548011995277, 
, DIA, 0.16109881380916,  1,  0.624862240837072, 
, SYS, 0.0431568098396252,  0.10486354105901,  1, 
22/07/2011, HR, 1,  0.0478637015101528,  0.0773321090866846, 
