NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
01/07/2011, HR, 0.137609796987073,  0.0488110894196099,  0.0528366833670092, 
, DIA, 0.0488110894196099,  0.101732288364846,  0.0507255359041854, 
, SYS, 0.0528366833670092,  0.0507255359041854,  0.11298165190006, 
02/07/2011, HR, 0.148761599238911,  0.0505318629992457,  0.0402042048150297, 
, DIA, 0.0505318629992457,  0.10102939905693,  0.0375827917575328, 
, SYS, 0.0402042048150297,  0.0375827917575328,  0.0763321933117528, 
03/07/2011, HR, 0.184415424691379,  0.0426884841529443,  0.0322228850663505, 
, DIA, 0.0426884841529443,  0.0727381199840358,  0.0218571395604055, 
, SYS, 0.0322228850663505,  0.0218571395604055,  0.0528313674314379, 
04/07/2011, HR, 0.195598042296999,  0.0453021272123872,  0.03275025057978, 
, DIA, 0.0453021272123872,  0.0751036201430591,  0.021940785867686, 
, SYS, 0.03275025057978,  0.021940785867686,  0.0520605604109884, 
05/07/2011, HR, 0.188150372599625,  0.0588635469029881,  0.0474631794882167, 
, DIA, 0.0588635469029881,  0.101961357286016,  0.0383094405231404, 
, SYS, 0.0474631794882167,  0.0383094405231404,  0.0790925315020131, 
06/07/2011, HR, 0.193539461498539,  0.0404462476686067,  0.067385120101408, 
, DIA, 0.0404462476686067,  0.0649856970840005,  0.0357952803289258, 
, SYS, 0.067385120101408,  0.0357952803289258,  0.118775235534743, 
07/07/2011, HR, 0.159038803667504,  0.0316073487282754,  0.038452573092699, 
, DIA, 0.0316073487282754,  0.0562492577054121,  0.0229125543273023, 
, SYS, 0.038452573092699,  0.0229125543273023,  0.0709280606260383, 
08/07/2011, HR, 0.16712819574651,  0.0313151142906556,  0.0397809671073037, 
, DIA, 0.0313151142906556,  0.054049557304438,  0.0222173265845777, 
, SYS, 0.0397809671073037,  0.0222173265845777,  0.0715097812895963, 
09/07/2011, HR, 0.145279416505834,  0.0293952943311437,  0.0211969978162173, 
, DIA, 0.0293952943311437,  0.0564723604149525,  0.0144141750788439, 
, SYS, 0.0211969978162173,  0.0144141750788439,  0.0388790104034446, 
10/07/2011, HR, 0.104936543246684,  0.0107076017711475,  0.0165736125571139, 
, DIA, 0.0107076017711475,  0.0232841142719946,  0.00711034216300552, 
, SYS, 0.0165736125571139,  0.00711034216300552,  0.038441335978698, 
11/07/2011, HR, 0.0992756578938385,  0.0173129135053269,  0.00743958313966299, 
, DIA, 0.0173129135053269,  0.0425798891196635,  0.00561270869181592, 
, SYS, 0.00743958313966299,  0.00561270869181592,  0.0164041181356819, 
12/07/2011, HR, 0.0544017817317412,  0.0124387519761769,  0.00517239607037422, 
, DIA, 0.0124387519761769,  0.0488581021948716,  0.00645922568655082, 
, SYS, 0.00517239607037422,  0.00645922568655082,  0.0170674054882262, 
13/07/2011, HR, 0.0320343859506471,  0.00833079127730164,  0.00329404855829924, 
, DIA, 0.00833079127730164,  0.0521280683875624,  0.00645952272264052, 
, SYS, 0.00329404855829924,  0.00645952272264052,  0.0164450672562175, 
14/07/2011, HR, 0.0267533106086836,  0.0104275843860339,  0.00517015886016816, 
, DIA, 0.0104275843860339,  0.0843917220281285,  0.016090054197789, 
, SYS, 0.00517015886016816,  0.016090054197789,  0.0322647649760768, 
15/07/2011, HR, 0.0350260423417702,  0.0155816683059578,  0.00833066519131223, 
, DIA, 0.0155816683059578,  0.104404627852076,  0.0237507254787739, 
, SYS, 0.00833066519131223,  0.0237507254787739,  0.0433118076561371, 
16/07/2011, HR, 0.0246486278443431,  0.0101337294138539,  0.00209519173202637, 
, DIA, 0.0101337294138539,  0.0964782328948162,  0.00732848559688323, 
, SYS, 0.00209519173202637,  0.00732848559688323,  0.0129731548055453, 
17/07/2011, HR, 0.0248219765899793,  0.00727534219516498,  0.00217268960671486, 
